size of row	rows	columns
192		13	116
208		13	108
224		13	98
240		13	87
256		13	119
272		13	39
288		13	33
304		13	33
320		13	120
336		13	28
352		12	27
368		13	29
384		12	122
400		12	32
416		12	27
432		13	27
448		13	96
464		13	28
480		12	27
496		13	27
512		13	125
528		13	28
544		13	27
560		13	29
576		13	34
592		13	29
608		13	28
624		13	29
640		13	129
656		13	30
672		13	30
688		12	30
704		13	30
720		13	31
736		12	31
752		13	30
768		13	132
